Salutation,awardeeDetail/affiliationOf/initials,awardeeDetail/affiliationOf/givenName,awardeeDetail/affiliationOf/familyName,awardeeDetail/affiliationOf/name,awardeeDetail/affiliationOf/identifier/id/orcid,Funder,PubMed Search Term,title ,Grant ID,Old Grant ID,fundingDetail/fundingTotal/currency,fundingDetail/fundingTotal/amount,Grant Stream,grantType,startDate,endDate,Lay Abstract,synopsis,awardeeDetail/name,awardeeDetail/departmentName,createdOn,awardeeDetail/affiliationOf/role,awardeeDetail/role,awardee/country,funding/country,licenceInformation/value,licenceInformation/link,fundingBodyAwardId
Professor,,Carol,MacKintosh,,0000-0001-9166-589X,Diabetes UK,Diabetes UK,How does insulin in the bloodstream trigger dephosphorylation of regulatory proteins of cell morphology and dopamine synthesis in the brain?,12/0004557,,GBP,173290,,RESEARCH,01-01-2013,31-12-2015,,"Diabetes is strongly associated with depression and cognitive decline, but the molecular reasons are unknown. Therefore, we were intrigued to see a striking dephosphorylation of many proteins in brains of mice injected intraperitoneally with insulin, or refed after fasting. The regulated brain proteins were purified and included regulators of cell morphology (MAPT(tau), srGAP3, MARK3, MARK4), dopamine synthesis (tyrosine hydroxylase), and FAM122A that interacts with protein phosphatase PP2A. Interestingly, these proteins are linked to neurological disorders (e.g. MAPT(tau) is hyperphosphorylated in Alzheimer's); all belong to paralogue families that evolved at the invertebrate-vertebrate transition; all are targets of cAMP-PKA signalling; and we also identified these proteins in a separate project to define the 14-3-3-binding phosphoproteome of melanoma cells. Further findings are inconsistent with the observed dephosphorylations being mediated by active insulin signalling within the brain. Therefore, to deduce the relevant mechanisms we will complete the identification of dephosphorylated target proteins, (de)phosphorylated residues and relevant protein kinases. The ?signalling signature' of each phosphorylation will be defined in terms of its responsiveness to stimuli/inhibitor combinations. Further work will depend on whether or not these experiments support the hypotheses that the observed dephosphorylations are due to inhibition of insulin and/or dopamine-cAMP-PKA signalling within the brain.",University of Dundee,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy39,NOT FOUND
Dr,,Annette,Graham,,,Diabetes UK,Diabetes UK,Diabetic dyslipidaemia: the role of intracellular lipid transport proteins,11/0004333,,GBP,15000,,RESEARCH,01-11-2011,31-10-2014,,"Type 2 diabetes mellitus (T2D) is associated with hypertriglyceridaemia, low circulating concentrations of high density lipoprotein (HDL) and accelerated cardiovascular disease (CVD). Increased secretion of hepatic very low density lipoprotein (VLDL) reflects increased lipogenesis, and flux of free fatty acids from adipose tissue. Importantly, a reciprocal relationship exists between hepatic VLDL output, and expression of the ATP binding cassette transporter A1 (ABCA1) primarily responsible for generation of HDL, strongly suggesting that these two conditions are inherently linked. This RESEARCH proposal investigates the possibility that targeting members of the ?START' family of lipid trafficking proteins, which we have shown can limit lipogenesis, influence expression of lipid-responsive transcription factors, and increase gene and protein expression of ABCA1, may provide an effective resolution to the problem of diabetic dyslipidaemia. Notably, a collaboration with the University of Alberta has shown that hepatic expression of key cholesterol-binding members of the START protein family (Stard1, Stard3 and Stard5) are profoundly repressed in corpulent, insulin resistant JCR:LA-cp rats, compared with their lean littermates, associated with increased hepatic lipogenesis, VLDL secretion and hypertriglyceridaemia. Our objectives are establish a causal link between hepatic START proteins (Stard1, Stard3 and Stard5) and generation of VLDL and HDL, and to test our hypothesis that these lipid trafficking molecules may prove useful in normalising the dysregulated lipoprotein profile associated with type 2 diabetes mellitus and accelerated cardiovascular disease.",Glasgow Caledonian University,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy40,NOT FOUND
Professor,,Peter,Whincup,,,Diabetes UK,Diabetes UK,"Emerging ethnic differences in Type 2 diabetes risk in children of South Asian, black African-Caribbean and white European origin: the role of early life factors",11/0004226,,GBP,70324,,RESEARCH,01-05-2012,30-09-2014,,"Compared with white Europeans, UK South Asian adults have high and UK black African-Caribbean adults moderately increased risks of type 2 diabetes. These ethnic differences are not fully explained. In our recent Child Heart And Health Study in England (CHASE), in which we examined ~5000 9-10 year-old children of South Asian, black African-Caribbean and white European origin, we showed that corresponding ethnic differences in insulin resistance and glycated haemoglobin (HbA1c) were already present by 9-10 years of age. To understand the reasons for these emerging ethnic differences, we propose to extend the CHASE Study resource with new information linked from maternal medical records. This will allow us to define the roles of potentially important early life determinants of these emerging ethnic differences in type 2 diabetes risk, including fetal growth, gestational diabetes, maternal adiposity, maternal smoking and infant feeding. Together with a parallel investigation of potentially important childhood determinants of emerging ethnic differences in type 2 risk, the results will inform strategies for early prevention of type 2 diabetes in the next generation, particularly in UK South Asians and black African-Caribbeans. With an emerging epidemic of type 2 diabetes in these ethnic groups, the research is important and timely.",St George's Hospital,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy41,NOT FOUND
Professor,,Peter,Whincup,,,Diabetes UK,Diabetes UK,"Emerging ethnic differences in Type 2 diabetes risk in children of South Asian, African-Caribbean and European origin: the role of childhood diet and eating patterns.",11/0004317,,GBP,76167,,RESEARCH,01-07-2012,30-04-2014,,"Compared with European adults, UK South Asians have markedly and UK African-Caribbeans have moderately increased risks of type 2 diabetes. In our recent Child Heart And Health Study in England (CHASE), we showed that corresponding ethnic differences in insulin resistance and glycated haemoglobin (HbA1c) were apparent by 9-10 years of age. These ethnic differences remain unexplained both in adults and in children. We propose to examine the contributions of childhood diet and eating patterns to emerging individual and ethnic differences in emerging type 2 diabetes risk in childhood, in ~2000 CHASE participants in whom detailed dietary assessments (including both 24 hour diet recall and 4-day dietary diaries) were made, providing information on nutrient intakes, specific food intakes, diet patterns/diet quality and eating patterns. Using this resource, we will examine how diet and eating patterns influence emerging type 2 diabetes risk in childhood and contribute to emerging ethnic differences in type 2 diabetes. The results will inform the development of strategies for early dietary prevention of type 2 diabetes, particularly in high-risk ethnic groups. With an emerging type 2 diabetes epidemic in UK ethnic minority groups, the research is important and timely.",St George's Hospital,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy42,NOT FOUND
Professor,,Stephanie,Amiel,,,Diabetes UK,Diabetes UK,Regional brain insulin resistance as a target for preventing obesity.,10/0003979,,GBP,210264,,FELLOW,06-10-2010,05-10-2013,,"There is evidence that within the corticolimbic regions of the brain involved in processing reward responses, appetite and food seeking behaviour, glucose metabolic rate (CMRglc), a marker for cerebral metabolism, is responsive to physiological insulin secretion. In insulin resistant individuals this insulin-dependent glucose uptake is reduced. This regional brain insulin resistance, with reduced insulin-induced activity in brain regions that control feeding, occurring in response to the secretion of insulin on food ingestion, may play a role in encouraging over-eating, obesity and Type 2 diabetes risk. I will examine this hypothesis using two modalities of functional magnetic resonance imaging (fMRI), blood oxygen level dependent and continuous arterial spin labelling fMRI. With these non-ionising imaging techniques I will evaluate the brain's response to both food imaging, a surrogate of food consumption, and to food eating, while measuring satiety. I will compare non-obese insulin resistant individuals at high risk for obesity and diabetes with insulin-sensitive peer controls from our local multicultural population, before and after an insulin-sensitising intervention of lifestyle changes and metformin, to examine the central predictors of obesity and diabetes, their correlation with inflammatory markers of insulin resistance, and the potential for modulating them by manipulating insulin sensitivity.",King's College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy43,NOT FOUND
Professor,,Desmond,Johnston,,,Diabetes UK,Diabetes UK,An incident and high risk Type 1 diabetes research cohort,09/0003919,,GBP,375000,,RESEARCH,01-05-2010,31-12-2013,,"The cohort will be incident cases of Type 1 diabetes and their siblings, characterised on the basis of clinical and demographic features and islet-specific antibody status. A repository will be created for DNA analysis and biomarker measurements to understand aetiology, and patients and their high risk siblings will be offered entry into trials of early intervention to limit beta cell destruction and diabetes prevention respectively. Both groups will be eligible to participate in epidemiological studies.",Imperial College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy44,NOT FOUND
Dr,,Yvonne,Alexander,,,Diabetes UK,Diabetes UK,Glycation and calcification in diabetes: a new target for prevention?,13/0004593,,GBP,14796,,RESEARCH,02-09-2013,01-06-2014,,"Patients with diabetes, exhibit more vascular calcification (VC) than age- and gender-matched non-diabetic patients with peripheral arterial disease (PAD). VC is a strong independent predictor of cardiovascular disease (CVD) mortality and recent studies suggest that glycation plays a pathogenic role in this process, although, little is known of the molecular mechanisms involved. We aim to 1) modify LDL in vitro using i) a more reactive glucose metabolite and ii) glucose in the presence of free radicals; 2) investigate how LDL isolated from type 2 diabetic patients and in vitro-modified LDL affect the progression of VC in vitro and 3) whether effects can be prevented using an S100P-Derived RAGE Antagonistic Peptide (RAP). We will treat human VSMCs in vitro with a range of doses of glyc-LDL and glycox-LDL in the presence and absence of a RAGE inhibitor, such as RAP and analyse the effects on calcification. Osteogenic signalling pathways will be interrogated using biochemical assays, western blotting and RT-PCR. A better understanding of the pathophysiology of VC may help develop new interventions for prevention or treatment of VC by modulating the glycation pathway, thus improving not only metabolic control in the context of diabetes but mitigate the added complications of calcification.",Manchester Metropolitan University,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy45,NOT FOUND
Dr,,Tania,Maffucci,,,Diabetes UK,Diabetes UK,Class II phosphoinositide 3-kinase in pancreatic beta cell function,09/0003971,,GBP,78000,,SCHOLARSHIP,01-10-2010,30-09-2013,,"Transition from normal to impaired glucose tolerance and ultimately to Type 2 diabetes is accompanied by decreases in both insulin sensitivity and pancreatic beta cell function. The impairment of beta cell function appears to be the critical event in progressive deterioration of glycaemic control. Understanding the molecular mechanisms regulating beta cell function is therefore crucial to identify potential sites of dysfunction. Our preliminary data demonstrate that downregulation of the enzyme phosphoinositide 3-kinase C2alpha (PI3K-C2alpha) specifically occurs in beta cell from Type 2 diabetic individuals. Mimicking these conditions in rat insulinoma cells strongly reduces insulin secretion suggesting that the detected downregulation in Type 2 diabetic individuals is at least in part responsible for impairment of beta cell function. This project will definitely determine whether downregulation of PI3K-C2alpha is a feature of Type 2 diabetes and the mechanisms responsible for such downregulation and it will define the signalling pathways regulating PI3K-C2alpha activation and action in beta cell. Since this is the first demonstration of a role for this enzyme in insulin secretion and the first evidence of its impairment in Type 2 diabetes, these results will potentially identify novel sites of dysfunction and targets for intervention.","Queen Mary, University of London",,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy46,NOT FOUND
Professor,,Lucy,Walker,,0000-0001-5986-5015,Diabetes UK,Diabetes UK,Is CTLA-4-dependent Treg function compromised in autoimmune diabetes?,12/0004477,,GBP,207509,,RESEARCH,01-01-2013,31-08-2015,,"T1D arises as a consequence of a dysregulated T cell response to insulin-producing pancreatic ? cells. T cell responses are normally subject to stringent regulation by the regulatory T cell (Treg) population, and this depends at least in part on the function of the CTLA-4 protein. Some data suggest that Treg function is defective in T1D and variation at the ctla-4 locus is associated with disease. Whilst CTLA-4 is undoubtedly a major regulator of immune responses, in disease settings it may not be CTLA-4 itself that is faulty but the pathways that impact upon its function. In this respect we have identified a novel molecular mechanism of CTLA-4 function which is critically dependent on the ability of CTLA-4 to traffic correctly through the cell. We therefore wish to test the hypothesis that CTLA-4 function is compromised in individuals with T1D and that this limits their capacity to provide appropriate immune regulation. We wish to test whether the trafficking of CTLA-4 is intact in people with T1D and address how these and other pathways affect CTLA-4 function. We will test the hypothesis that CTLA-4 function is compromised in individuals with T1D and that this limits their capacity for appropriate immune regulation.",University College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy47,NOT FOUND
Professor,,Naveed,Sattar,,,Diabetes UK,Diabetes UK,Vitamin D as a (causal) determinant of insulin resistance and diabetes? An analysis of three UK based prospective studies,10/0004071,,GBP,195540,,RESEARCH,01-11-2010,31-10-2013,,"The potential role of vitamin D in chronic diseases (other than its established clinical role in osteoporosis) such as diabetes is of major research interest, partially due to the widespread presence of vitamin D receptor in metabolic and white cells. There is, however, a need for better quality epidemiological data. We propose to substantially extend data on vitamin D in relation to diabetes (and insulin resistance), by measuring circulating 25OHD concentrations (and PTH) in three large prospective studies totalling >9,500 subjects and each with >12 year follow-up, so totalling >100K person-years of follow-up. Importantly, all three studies have measured baseline insulin, calcium and albumin and a full range of established risk factors and socioeconomic variables. We will relate 25OHD (and PTH) to baseline risk factors and incident events adjusting for a more complete panel of potential confounders than previously possible. We will also use genetic variants robustly associated with total 25OHD levels as instrumental variables to determine the unconfounded and unbiased associations of 25OHD levels with continuous traits (insulin resistance in all cohorts), and to incident diabetes (and CVD) end-points. Our results will guide decision making about the public health need, or otherwise, for Vitamin D supplementation RCTs in diabetes.",University of Glasgow,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy48,NOT FOUND
Professor,,Amy-Jayne,McKnight,,,Diabetes UK,Diabetes UK,Exploring genetic risk profiles for diabetic nephropathy by extending meta-analyses of genome-wide association studies,10/0004154,,GBP,84813,,SCHOLARSHIP,01-10-2011,30-09-2014,,"Aim: To improve our knowledge and understanding of biological pathways and genetic risk factors that influence diabetic nephropathy. All recruited individuals are White, diagnosed with type 1 diabetes <35 years of age with diabetic nephropathy (macroalbuminuria or end-stage kidney failure, cases) or without evidence of renal disease (controls). Recent research evaluating ~2.4 million SNPs in >6,000 individuals has identified top-ranked makers associated with diabetic nephropathy, in particular for individuals undergoing renal replacement therapy (P=4.8 x 10-09). We propose replicating these top-ranked hits in 3,000 additional individuals with similar phenotypic criteria to those recruited to the original study. We also plan to compare our results for end stage kidney failure to cleaned data obtained from the Wellcome Trust Case Control Consortium 3 Renal Transplant Dysfunction Study. This represents a unique opportunity to compare two large UK-based datasets for kidney disease. Next generation sequencing will be conducted for five prioritised regions, extensive bioinformatics performed and further SNPs genotyped by Sequenom and TaqMan. Complementary to the described research, additional work analysing copy number variation and next generation sequence data from the mitochondrial genome will be conducted. This project will generate considerable novel information that will be made available to the wider research community.",Queen's University Belfast,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy49,NOT FOUND
Dr,,Michael,Christie,,,Diabetes UK,Diabetes UK,Roles of HLA and B-cells in the regulation of pro- and anti-inflammatory T-cell responses to the IA-2 autoantigen in Type 1 diabetes,11/0004297,,GBP,236900,,RESEARCH,01-01-2012,30-06-2015,,"High-risk diabetes-susceptibility HLA molecules influence progression to Type 1 diabetes by presenting antigenic peptides to T-cells thereby promoting inflammatory beta cell destruction. B-cells also regulate T-cell responses by facilitating antigen uptake, processing and presentation on HLA molecules. The identity of antigenic peptides driving pro-inflammatory responses, the role of B-cells and the impact of HLA on their presentation are poorly characterised. We have shown that T-cell epitopes for HLA-DR4-associated responses to IA-2 are contained within a region of the antigen protected by antibody during proteolytic processing. If true for other responses, identification of peptides remaining bound to diabetes-associated antibodies after protease treatment will facilitate the identification of T-cell epitopes linked to B-cell responses in diabetic patients. In this study, we aim to use MALDI-TOF mass spectrometry to identify peptides eluted from protease-treated complexes of IA-2 with antibodies from diabetic patients of restricted epitope recognition. Alanine-scanning mutagenesis will then be used to identify amino acids within the identified region that form the antibody epitope. Synthetic peptides contained within the protected regions will be tested for ability to stimulate T-cell responses in diabetic patients and to establish links with antibody specificity and HLA alleles. Peptides identified may be exploited for diabetes prevention.",King's College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy50,NOT FOUND
Dr,,Michael,Christie,,,Diabetes UK,Diabetes UK,Identification of diabetes-associated epitopes by NMR,13/0004762,,GBP,14900,,RESEARCH,01-08-2013,31-07-2014,,"Autoantibody-secreting B-cells are potential targets of immune intervention therapy for Type 1 diabetes, as demonstrated by the established effects of B-cell depletion to both prevent diabetes in animal models and prolong beta cell function in Type 1 diabetic patients. Characterisation of antibody epitopes will provide information on the specificity of autoimmune responses in diabetes that is critical for the development of therapies that deplete only those B-cells that are implicated in the disease process, thereby avoiding general immune deficiency. Current methodology available to define regions of autoantigens recognised by antibodies in diabetes provide only limited structural information on antibody epitopes. Nuclear magnetic resonance (NMR) provides a powerful technology for detailed analysis of protein-protein interactions that could be developed as a novel approach to better understand structures recognised. The objective of this project is to develop NMR-based approaches for rapid identification of epitopes for autoantibodies in diabetes. The specific aims are to optimise protocols for NMR chemical shift mapping using recombinant fragments of well-characterised IA-2 autoantibodies previously obtained as EBV-transformed B-cell lines. The project will establish NMR as an important tool for epitope discovery in Type 1 diabetes, a critical step towards development of B-cell-targetted therapies for prevention of disease.",King's College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy51,NOT FOUND
Professor,,David,Dunger,,,Diabetes UK,Diabetes UK,Adolescent Type 1 Diabetes Cardio-Renal Intervention Trial (AdDIT) - Extension,12/0004468,,GBP,469281,,RESEARCH,01-12-2012,31-08-2016,,"The aim of this proposal is to complete the recruitment and follow-up phase of the Adolescent Diabetes cardio-renal Intervention Trial, the first randomised placebo-controlled trial (RCT) of ACE inhibitors (ACEI) and Statin therapy in adolescents with type 1 diabetes at high-risk for renal and cardiovascular complications. From a screened population of 4,500 subjects, 500 deemed to be at high risk on the basis of higher than expected albumin excretion, will be recruited into a RCT, contrasting the effects of ACEI, statin, or combination therapy with placebo over a 3-4 year intervention period. Allowing for a 20% drop-out rate, 400 subjects would give 93% power to detect a 23% reduction in albumin excretion (repeated measures, area under curve), related to either drug. The trial also has sufficient power to detect longitudinal changes, in serial measurements of blood pressure, blood lipids, cardiovascular risk markers and between baseline and end of study measurement of carotid artery intima-media thickness, endothelial function and arterial stiffness. The impact of intervention on quality of life is also assessed and a health economic assessment is undertaken. The study will provide clear advice on the likely efficacy, safety and compliance of early intervention and inform future treatment guidelines.",University of Cambridge,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy52,NOT FOUND
Professor,,James,Shaw,,,Diabetes UK,Diabetes UK,Establishment of optimised biomedical and psychosocial measures to determine overall outcomes in islet transplant recipients,06/0003362,,GBP,390254.99,,RESEARCH,01-07-2007,31-12-2013,,"Prevention of significant hypoglycaemia and near-normalisation of overall glycaemic control following islet transplantation has been reproducibly confirmed internationally and in the UK. Expansion of the UK programme provides an important opportunity for the proposed research. The overall purpose is to establish optimised biomedical/ psychosocial measures to determine true outcomes, ensuring evidence-based practice provided equitably to all suitable recipients, leading to improved overall quality of life (QoL). Evaluation tools will be validated for detailed quantification of recipient variables including clamp studies of insulin sensitivity; objective scoring of organ donor/ resected pancreas; and assessment of islet quality employing novel viability/ functional markers. Post-transplant ÃŸ-cell function/ insulin sensitivity will be closely monitored by interval oral glucose tolerance tests including insulin assay. New instruments for psychosocial evaluation enabling robust assessment of overall satisfaction and impact on QoL will be designed and validated alongside existing instruments. Transport of isolated islets to a satellite transplant centre will be compared to the existing single centre approach. A robust quality assurance system will be implemented and all data collated on an enhanced UK database. This project will enable truly meaningful comparison between centres and programmes internationally in addition to identification of pre-transplantation predictors of long-term outcome",University of Newcastle,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy53,NOT FOUND
Professor,,James,Shaw,,,Diabetes UK,Diabetes UK,Prevention of recurrent severe hypoglycaemia: a definitive RCT comparing optimised MDI and CSII with or without adjunctive real-time continuous glucose monitoring,07/0003556,,GBP,1157470,,RESEARCH,01-03-2009,31-08-2014,,"Prevention of significant hypoglycaemia and near-normalisation of overall glycaemic control following islet transplantation has been reproducibly confirmed internationally and in the UK. Expansion of the UK programme provides an important opportunity for the proposed research. The overall purpose is to establish optimised biomedical/ psychosocial measures to determine true outcomes, ensuring evidence-based practice provided equitably to all suitable recipients, leading to improved overall quality of life (QoL). Evaluation tools will be validated for detailed quantification of recipient variables including clamp studies of insulin sensitivity; objective scoring of organ donor/ resected pancreas; and assessment of islet quality employing novel viability/ functional markers. Post-transplant ÃŸ-cell function/ insulin sensitivity will be closely monitored by interval oral glucose tolerance tests including insulin assay. New instruments for psychosocial evaluation enabling robust assessment of overall satisfaction and impact on QoL will be designed and validated alongside existing instruments. Transport of isolated islets to a satellite transplant centre will be compared to the existing single centre approach. A robust quality assurance system will be implemented and all data collated on an enhanced UK database. This project will enable truly meaningful comparison between centres and programmes internationally in addition to identification of pre-transplantation predictors of long-term outcome.",University of Newcastle,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy54,NOT FOUND
Dr,,Jackie,Price,,0000-0003-3251-3970,Diabetes UK,Diabetes UK,Progressive fibrosis in patients with Type 2 diabetes mellitus,10/0003985,,GBP,177085,,FELLOW,01-01-2011,30-06-2015,,"Aims and objectives (i) Determine the natural history of NAFLD in people with type 2 diabetes, including the incidence and prevalence of hepatosteatosis, fibrosis and portal hypertension/cirrhosis, (ii) Identify potentially causal and modifiable risk factors for the development of liver fibrosis and the progression of liver disease in people with type 2 diabetes mellitus, and (iii) Develop prognostic models to identify those patients with type 2 diabetes who are at high risk of liver fibrosis and progressive liver disease. Methodology The ET2DS comprises a population-based cohort of people aged over 60 with type 2 diabetes. At the follow-up liver examination, repeat US will be used to assess change in liver steatosis since baseline. Presence, severity and progression of liver fibrosis will be assessed using three measures: serum biomarkers, transient ultrasound elastography, and magnetic resonance elastography. Presence and progression of NAFLD, and in particular fibrosis, will be related to a wide range of baseline risk factors. Scientific and medical opportunities of the study This study will focus on the development and progression of fibrosis, as this is the stage most likely to determine future clinically relevant disease. Allowing the identification of patients with type 2 diabetes most at risk of developing NASH and/or progressive fibrosis, and the identification of potentially modifiable risk factors and biomarkers.",University of Edinburgh,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy55,NOT FOUND
Dr,,Mark,Maccarthy,,0000-0002-4393-0510,Diabetes UK,Diabetes UK,The search for 'smoking gun' mutations: clues to the mechanisms involved in the development of Type 2 diabetes,09/0003943,,GBP,72000,,SCHOLARSHIP,01-10-2010,31-12-2013,,"Type 2 diabetes (T2D) remains a disease of growing prevalence and substantial unmet clinical need. Recent successes in identifying ~35 common variant loci influencing T2D-susceptibility, largely through genome-wide association methodology, have provided insights into disease pathogenesis that will drive future translational developments. However, much work remains to be done to refine the biological insights and to extend predictive power: the identification and characterisation of low frequency and rare T2D-susceptibility variants is likely to be key. Over the next two years, the Oxford group (with collaborators) is funded to undertake a number of whole genome sequencing and large-scale genotyping studies which will generate unprecedented amounts of data relevant to these goals. This proposal seeks support for a PhD/DPhil student who will have responsibility for the genetic, epidemiological and functional characterisation of low frequency and rare variants within the genes that map within these existing common variant signals. This work will contribute to resolution of the mechanisms through which these variants influence T2D-risk and lay the foundation for subsequent translation. This project will provide the student with training in state-of-the-art approaches to large-scale genetic analysis and functional evaluation of variants, and the application of such information to inform diabetes pathogenesis.",University of Oxford,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy56,NOT FOUND
Professor,,Calum,Sutherland,,,Diabetes UK,Diabetes UK,Understanding the mechanism of declining insulin sensitivity in the development of Type 2 diabetes.,10/0004131,,GBP,84649,,SCHOLARSHIP,01-10-2011,30-09-2014,,"Recently, an unusual modification of the protein PPARgamma (the target of thiazolidinediones) was found in people with obesity and T2DM. The modification (phosphorylation at Ser273) alters cellular metabolism, promoting insulin resistance. We aim to develop a detailed picture of how this novel pathway contributes to the development of T2DM and to harness the knowledge in the fight against T2DM. The enzyme proposed to phosphorylate PPARgamma is cyclin-dependent kinase-5 (Cdk5). We have been studying Cdk5 in the brain for some time. We will investigate the molecular connection between obesity and Cdk5 function in cells and in vivo, and importantly whether other Cdk5 targets contribute to poor insulin action and Diabetes development. We will examine Cdk5 expression and activity in fat fed rodents, an insulin resistant cell model and cells exposed to individual factors associated with obesity and diabetes. In addition we will examine a spectrum of Cdk5 targets in each of these systems and compare the activity of different Cdk5 complexes towards each substrate in vitro. Finally, phosphorylation is a reversible reaction, therefore we will identify the PPARg phosphatase, establish whether obesity inhibits it and if it is possible to manipulate this pathway to improve insulin action.",Ninewells Hospital And Medical School,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy57,NOT FOUND
Professor,,David,Bates,,0000-0003-4850-2360,Diabetes UK,Diabetes UK,Over-expression of VEGF165b as a novel therapeutic agent in diabetic retinopathy,10/0004152,,GBP,73500,,SCHOLARSHIP,01-10-2011,30-09-2014,,"The proposed project is to perform proof of principal pre-clinical studies required to develop a new treatment for people with diabetes that has the potential to prevent blindness safely and effectively. Retinopathy occurs in most people after 20 years of diabetes and results from re-tinal microangiopathy, ischemia and hypoxia induced VEGF expression. 4-6 weekly injections of Lucentis or Macugen are about to be approved for diabetic macular edema, but VEGF is present in the healthy eye, and has protective effects, so its inhibition may be unsafe. The endogenous isoform VEGF165b may offer a new treatment that is safer and more effective. VEGF165b is both anti-angiogenic and neuroprotective in models of ischemic eye disease and is in clinical development for age related macular degeneration the form of blindness that Lu-centis and Macugen were developed for. It has potential advantages over panVEGF inhibitors because it can be expressed in the eye by gene therapy approaches.. This studentship will assess the therapeutic potential of VEGF165b as an anti-angiogenic, neuroprotective therapy in rat models of diabetic retinopathy, testing both safety and efficacy. To address the risk of adverse effects from repeated intraocular injections, it will develop a strategy of sustained lo-cal delivery of VEGF165b to the eye using gene therapy.",University of Bristol,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy58,NOT FOUND
Professor,,Shanta,Persaud,,,Diabetes UK,Diabetes UK,Role of the novel cannabinoid receptor GPR55 in islet function: implications for diabetes therapy,11/0004307,,GBP,193231.97,,RESEARCH,01-01-2012,31-12-2014,,"G-protein coupled receptors (GPCRs) play important roles in modern medicine, and they are the targets of at least 30% of all prescription drugs. We have made the first identification of the novel cannabinoid GPCR, GPR55, in islets, and our preliminary data indicate that its activation results in potentiation of glucose-stimulated insulin secretion from human islets. This project will focus on the roles played by GPR55 in the regulation of insulin secretion and islet cell proliferation, processes that are dysfunctional in the pathogenesis of diabetes. In particular, we will identify which cells within the islet express GPR55 and establish the profile of islet hormone secretion in response to its activation by pharmacological agonists. Specificity of ligand action will be determined using islets isolated from GPR55 knockout mice, or human islets in which GPR55 expression has been knocked down. As GPR55 is known to be coupled to proliferation of other cell types, we will examine its role in ?-cell replication in obesity and pregnancy, conditions under which ?-cell mass expansion is required to maintain normoglycaemia. We will also identify the intracellular cascades downstream of GPR55 activation in islets, which will present an opportunity to therapeutically target key signalling pathways. Understanding the role of GPR55 in islet physiology has the potential to provide a novel drug target for the treatment of Type 2 diabetes.",King's College London,,12-03-2025,PI,COORDINATOR,GBR,GBR,© The British Diabetic Association operating as Diabetes UK,https://www.diabetes.org.uk/legal-information/privacy-policy59,NOT FOUND
